id,date,target_mood,activity_mean,activity_std,activity_min,activity_max,appCat.builtin_mean,appCat.builtin_std,appCat.builtin_min,appCat.builtin_max,appCat.communication_mean,appCat.communication_std,appCat.communication_min,appCat.communication_max,appCat.entertainment_mean,appCat.entertainment_std,appCat.entertainment_min,appCat.entertainment_max,appCat.finance_mean,appCat.finance_std,appCat.finance_min,appCat.finance_max,appCat.game_mean,appCat.game_std,appCat.game_min,appCat.game_max,appCat.office_mean,appCat.office_std,appCat.office_min,appCat.office_max,appCat.other_mean,appCat.other_std,appCat.other_min,appCat.other_max,appCat.social_mean,appCat.social_std,appCat.social_min,appCat.social_max,appCat.travel_mean,appCat.travel_std,appCat.travel_min,appCat.travel_max,appCat.unknown_mean,appCat.unknown_std,appCat.unknown_min,appCat.unknown_max,appCat.utilities_mean,appCat.utilities_std,appCat.utilities_min,appCat.utilities_max,appCat.weather_mean,appCat.weather_std,appCat.weather_min,appCat.weather_max,call_mean,call_std,call_min,call_max,circumplex.arousal_mean,circumplex.arousal_std,circumplex.arousal_min,circumplex.arousal_max,circumplex.valence_mean,circumplex.valence_std,circumplex.valence_min,circumplex.valence_max,screen_mean,screen_std,screen_min,screen_max,sms_mean,sms_std,sms_min,sms_max,mood_slope,mood_recent_mean,mood_distal_mean,mood_recency_diff,appCat.social_ratio,appCat.entertainment_ratio,appCat.communication_ratio,activity_circadian_std
AS14.01,2014-03-26,6.6,0.138201321508103,0.05453619500220289,0.0789610561155979,0.2368802192399581,504.6375714285714,382.5791546038385,0.0,1144.007,3072.893,2198.4552518244,0.0,5837.535,61.02014285714285,63.982061138658395,0.0,190.29,27.311857142857143,19.19050914554656,0.0,49.544,0.0,0.0,0.0,0.0,1.2127142857142859,2.0278352084558207,0.0,5.479,57.053000000000004,45.555243963471746,0.0,130.167,1265.3709999999999,1236.6027651904114,0.0,3621.838,50.174285714285716,94.70675682745933,0.0,278.91,33.60328571428572,82.31090368095536,0.0,235.223,101.17785714285715,119.62622784015765,0.0,327.581,4.340857142857143,10.632885046315664,0.0,30.386,2.857142857142857,3.562846832382836,0.0,10.0,0.2928571428571428,0.3363974811233319,-0.25,0.8,0.4404761904761904,0.2660494557881487,0.0,0.8,3874.6818571431295,2639.7242432362486,0.0,7636.4560008049,0.5714285714285714,0.7284313590846835,0.0,2.0,0.05119047619047611,6.375,6.3966666666666665,-0.0216666666666665,0.24433692787200467,0.01178269001267228,0.5933605522012028,0.05453619500220289
AS14.01,2014-03-27,7.0,0.13205248820176516,0.05164821287238212,0.0789610561155979,0.2368802192399581,603.2787142857143,324.3319385654652,0.0,1144.007,3833.0488571428573,1904.8548061517092,0.0,5837.535,65.46742857142856,60.57743993991053,0.0,190.29,34.78771428571429,17.18275870678251,0.0,52.331,0.0,0.0,0.0,0.0,1.2127142857142859,2.0278352084558207,0.0,5.479,70.98128571428572,40.61972600215068,0.0,130.167,1555.4144285714285,1140.137033479605,0.0,3621.838,50.174285714285716,94.70675682745932,0.0,278.91,33.60328571428572,82.31090368095536,0.0,235.223,105.94428571428571,116.11301984300135,0.0,327.581,4.340857142857143,10.632885046315664,0.0,30.386,2.7142857142857144,3.653346243584121,0.0,10.0,0.29999999999999993,0.32513733362117264,-0.2,0.8,0.419047619047619,0.24550378580286172,0.0,0.8,4782.834285702024,2208.8425938482924,0.0,7636.4560008049,0.2857142857142857,0.45175395145262565,0.0,1.0,0.05357142857142827,6.675,6.346666666666667,0.32833333333333314,0.24462918019922672,0.010296447742155261,0.602846149786362,0.05164821287238212
AS14.01,2014-03-28,6.4,0.13597508145424117,0.04877275343891001,0.0789610561155979,0.2368802192399581,731.6331428571428,221.7507003238602,476.737,1144.007,4490.749285714286,1087.1500369412436,2666.752,5837.535,85.02585714285713,58.34328537061256,4.01,190.29,40.819,9.688980987257048,21.076,52.331,0.0,0.0,0.0,0.0,17.529285714285713,39.52113935862783,0.0,114.216,79.343,29.705576475037237,31.68,130.167,1618.3811428571428,1061.9899368260685,439.632,3621.838,56.93342857142858,92.54844964643753,0.0,278.91,33.60328571428572,82.31090368095536,0.0,235.223,131.51985714285715,109.48845239101516,10.064,327.581,4.340857142857143,10.632885046315664,0.0,30.386,3.0,3.5050983275386565,0.0,10.0,0.32857142857142857,0.30572763655761,-0.2,0.8,0.48571428571428577,0.2747912008810192,0.0,0.8,5597.2838571071625,1033.5374025098968,4199.878001213073,7636.4560008049,0.42857142857142855,0.49487165930539345,0.0,1.0,0.09821428571428543,6.8,6.4300000000000015,0.36999999999999833,0.22200386771113378,0.011663549853184886,0.6160252884493641,0.04877275343891001
AS14.01,2014-03-29,8.0,0.13049621254677427,0.05079353210206458,0.0789610561155979,0.2368802192399581,669.3545714285714,145.19292825248277,476.737,898.481,4052.085,1679.8361992331277,866.833,5837.535,81.79999999999998,52.7943339708777,4.01,167.709,46.479285714285716,19.618393014969293,21.076,89.166,33.29085714285714,81.54561309988867,0.0,233.036,16.74657142857143,39.80527813837593,0.0,114.216,78.57885714285715,28.42975846552628,31.68,124.818,1174.2244285714285,729.2298109833528,439.632,2266.485,128.4487142857143,266.460631110711,0.0,779.517,33.60328571428572,82.31090368095536,0.0,235.223,113.01614285714287,82.37916679152141,10.064,222.893,4.340857142857143,10.632885046315664,0.0,30.386,2.857142857142857,3.398679215248663,0.0,10.0,0.21428571428571427,0.4485805276602166,-0.6,0.8,0.5428571428571429,0.2498979383505129,0.0,0.8,5245.332571370261,1448.734025920666,2725.3119995594043,7636.4560008049,0.42857142857142855,0.49487165930539345,0.0,1.0,0.03571428571428537,6.7,6.51,0.1900000000000004,0.18256066016669414,0.01271772383393842,0.6299914178685131,0.05079353210206458
AS14.01,2014-03-30,7.5,0.10639943981276159,0.03060861279007484,0.0682028101018696,0.1595106409690974,665.6934285714286,150.23917967109944,451.109,898.481,3902.682571428572,1835.6798194109263,866.833,5837.535,97.24614285714286,42.61021906413856,31.131,167.709,43.46842857142857,24.336068651032257,0.0,89.166,33.29085714285714,81.54561309988868,0.0,233.036,16.74657142857143,39.80527813837593,0.0,114.216,76.85714285714286,27.543951031182203,31.68,124.818,1178.975285714286,724.5216723574476,440.767,2266.485,130.61014285714285,265.77301841309657,0.0,779.517,33.60328571428572,82.31090368095536,0.0,235.223,160.34057142857142,143.73510644521167,10.064,448.892,4.340857142857143,10.632885046315664,0.0,30.386,3.0,3.4226138716316967,0.0,10.0,0.15714285714285717,0.42039825627320465,-0.6,0.8,0.6142857142857144,0.29485382057928994,0.0,1.0,4822.601000002453,1842.976028874477,2019.4720001220692,7636.4560008049,0.42857142857142855,0.49487165930539345,0.0,1.0,0.16607142857142826,7.2,6.63,0.5700000000000003,0.18584523647145887,0.015329186823686098,0.6151909833468323,0.03060861279007484
AS14.01,2014-03-31,7.4,0.0930211333436871,0.03222392779854702,0.049092970521542,0.1595106409690974,619.6672857142858,202.12424488751208,282.98,898.481,3487.7127142857144,2175.615583950812,599.813,5837.535,103.05714285714285,44.548082275314194,31.131,167.709,37.267999999999994,28.700653208096647,0.0,89.166,33.29085714285714,81.54561309988868,0.0,233.036,16.74657142857143,39.80527813837593,0.0,114.216,77.02571428571427,27.52234826315457,31.68,124.818,1074.239,805.6126326983353,167.685,2266.485,130.61014285714285,265.77301841309657,0.0,779.517,43.10000000000001,81.71883963409451,0.0,235.223,161.5134285714286,142.69721223311282,10.064,448.892,0.0,0.0,0.0,0.0,3.0,3.4226138716316967,0.0,10.0,0.05714285714285716,0.47766438563715685,-0.6,0.8,0.6071428571428571,0.290846758164319,0.0,1.0,4317.417571340288,2357.3292306857556,663.5940005779273,7636.4560008049,0.42857142857142855,0.49487165930539345,0.0,1.0,0.24285714285714294,7.75,6.55,1.2000000000000002,0.18571855559213007,0.017816913847738144,0.6029691415201369,0.03222392779854702
AS14.01,2014-04-01,6.0,0.09181319402480018,0.03288014092694008,0.049092970521542,0.1595106409690974,639.1575714285713,225.14821890660457,282.98,949.998,3179.931,1963.4703991386564,599.813,5563.879,149.19328571428574,108.31529098320104,31.131,393.242,38.28928571428572,28.69716067445541,0.0,89.166,40.60171428571429,80.52086318058778,0.0,233.036,16.31657142857143,39.967274351674774,0.0,114.216,88.76299999999999,36.58329950752314,31.68,148.719,943.4061428571429,663.1328915216292,167.685,2030.304,151.80671428571432,263.20726182867173,0.0,779.517,47.28428571428572,80.13945847211649,0.0,235.223,190.11928571428572,128.870412896848,33.365,448.892,0.0,0.0,0.0,0.0,2.4285714285714284,2.381904571504724,0.0,6.0,-0.05714285714285714,0.36977654587270814,-0.6,0.5,0.6928571428571428,0.15681784571500107,0.5,1.0,3938.5778569493973,1975.6900403916095,663.5940005779273,6357.066999912261,0.42857142857142855,0.49487165930539345,0.0,1.0,0.169642857142857,7.45,6.95,0.5,0.17200158607777102,0.027200884761354627,0.5797642720042113,0.03288014092694008
AS14.01,2014-04-02,6.5,0.0946802126422615,0.03417664395602513,0.049092970521542,0.1595106409690974,734.3841428571429,277.96087233762574,282.98,1159.576,3170.250428571428,1951.8253844237236,599.813,5496.115,179.26242857142856,110.84532397104039,31.131,393.242,81.84028571428573,112.33290159383314,0.0,347.911,74.13614285714286,102.50778619127786,0.0,234.741,16.767857142857142,39.797966037146644,0.0,114.216,94.6657142857143,29.55504592023059,58.532,148.719,1268.2425714285714,1232.1287263256288,167.685,3902.658,208.78514285714286,267.31609484088233,0.0,779.517,13.681,23.805483467950346,0.0,66.477,218.35871428571429,152.45785386011656,33.365,448.892,0.0,0.0,0.0,0.0,2.5714285714285716,2.2587697572631282,0.0,6.0,-0.09999999999999999,0.31622776601683794,-0.6,0.2,0.6214285714285713,0.28767186522288957,0.0,1.0,4085.6230002130783,2092.8924256190753,663.5940005779273,6357.066999912261,0.2857142857142857,0.45175395145262565,0.0,1.0,0.003571428571428595,6.7,7.1,-0.39999999999999947,0.20926802236005174,0.02957943121901874,0.5231113136550426,0.03417664395602513
AS14.01,2014-04-03,6.4,0.09476711106628258,0.034194155122930094,0.049092970521542,0.1595106409690974,800.5429999999999,312.5955462455782,282.98,1159.576,3256.178,2055.1293463274487,599.813,5922.584,231.3747142857143,114.63809629651827,112.133,395.917,97.99457142857143,115.02627350660512,0.0,347.911,74.13614285714286,102.50778619127786,0.0,234.741,16.767857142857142,39.797966037146644,0.0,114.216,117.18457142857142,63.589731688731774,58.532,255.13,1350.2055714285714,1297.4476791727736,167.685,3902.658,208.78514285714286,267.31609484088233,0.0,779.517,13.681,23.805483467950346,0.0,66.477,245.88271428571426,132.68491502666254,38.296,448.892,0.0,0.0,0.0,0.0,3.142857142857143,2.030381486221699,0.0,6.0,-0.023809523809523805,0.345820526768863,-0.6,0.3333333333333333,0.630952380952381,0.28790824313066316,0.0,1.0,4335.866000243595,2427.499532723214,663.5940005779273,8108.768000125884,0.2857142857142857,0.45175395145262565,0.0,1.0,-0.10357142857142845,6.25,7.26,-1.0099999999999998,0.21055071391109292,0.03608051418591667,0.5077675703827917,0.034194155122930094
AS14.01,2014-04-04,6.2,0.07901394417190308,0.024867299491570606,0.049092970521542,0.118443242712736,853.2242857142857,353.11029755616596,282.98,1267.25,4005.908142857143,3101.1269671447058,599.813,9852.014,250.80285714285714,108.33292549943118,112.133,395.917,102.85385714285714,113.2725062309329,0.0,347.911,74.13614285714286,102.50778619127784,0.0,234.741,0.45128571428571423,1.105419728207437,0.0,3.159,129.29614285714285,59.18653000817131,72.999,255.13,1655.368142857143,1298.8696717412665,167.685,3902.658,204.752,269.922145037628,0.0,779.517,13.681,23.805483467950346,0.0,66.477,246.41742857142853,132.4217010903933,38.296,448.892,0.0,0.0,0.0,0.0,3.4285714285714284,1.9897697538834456,0.0,6.0,-0.22380952380952382,0.519680697362221,-1.2,0.3333333333333333,0.5166666666666667,0.3501700267285131,0.0,1.0,4787.240714550018,2889.2378614334675,663.5940005779273,8860.769999980927,0.14285714285714285,0.34992710611188266,0.0,1.0,-0.16071428571428553,6.45,7.06,-0.6099999999999994,0.2196354014014759,0.033276698261289574,0.5315066903578795,0.024867299491570606
