id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-02-26,,,,,,,,,,,,,,1.0,-0.25,0.75,6.25,,1.0
AS14.01,2014-02-27,,,,,,,,,,,,,,1.0,0.0,0.3333333333333333,6.333333333333333,,1.0
AS14.01,2014-03-21,0.13405010398938863,5.5266038647343,37.14606603773585,13.592142857142859,6.193,,5.479,18.595285714285716,62.44548275862069,25.35545454545455,,13.103240000000001,,1.0,0.2,0.2,6.2,52.94868367058892,1.0
AS14.01,2014-03-22,0.23688021923995814,5.12620430107527,31.008744186046517,4.01,7.025333333333333,,4.2445,14.020428571428573,36.63599999999999,37.305,,39.207,,1.0,0.6,0.5,6.4,39.82874399757385,1.0
AS14.01,2014-03-23,0.14274111580506368,5.875368932038835,37.68389247311827,31.448666666666668,10.850750000000001,,4.2445,12.137166666666667,50.046611111111105,23.803901515151512,,30.086,30.386,1.0,0.2,0.8,6.8,44.679553204394395,1.0
AS14.01,2014-03-24,0.07896105611559796,4.702693641618497,31.21676470588235,11.714833333333333,5.684333333333334,,3.01,11.092999999999998,55.280121951219506,8.751249999999999,,10.064,,1.0,0.8,0.0,6.0,41.729267763961204,1.0
AS14.01,2014-03-25,0.0983741123905068,5.030510204081633,40.612255474452546,34.103,10.763499999999999,,6.696636363636365,7.92,60.32603703703704,28.2549375,29.402875,22.2893,,1.0,0.5,0.5,6.75,46.96215595017878,1.0
AS14.01,2014-03-26,0.10130832167007592,5.270900763358779,29.726765363128493,15.5655,8.721833333333334,,6.696636363636365,16.249666666666666,61.52436363636363,23.298270833333337,,33.365,,1.0,-0.2,0.6,6.6,39.4848881982128,1.0
AS14.01,2014-03-27,0.15951064096909748,5.911059210526315,29.89547402597403,27.3818,14.072999999999999,,10.383272727272729,9.755333333333335,36.730583333333335,23.657,,16.275363636363632,,1.0,0.2,0.8,7.0,44.89092125855092,1.0
AS14.01,2014-03-28,0.09569802163712014,5.900474999999999,24.078694444444448,27.9515,12.738000000000001,116.518,,24.9636,25.63705,43.3065,,22.006111111111114,,1.0,-0.6,0.6,6.4,33.23551218974883,1.0
AS14.01,2014-03-29,0.06820281010186964,5.6388625,30.583679245283022,14.016625,10.52826862745098,81.98033333333333,,14.348500000000001,59.111000000000004,17.478333333333335,,19.517043478260867,,1.0,0.2,1.0,8.0,38.10324528532207,1.0
AS14.01,2014-03-30,0.049092970521542004,5.659600000000001,31.569105263157894,45.007666666666665,10.621801960784314,81.98033333333333,,12.333833333333333,55.895,33.08691777777777,33.2385,38.296,,1.0,-0.5,0.75,7.5,31.599714313234635,
AS14.01,2014-03-31,0.07050548088338955,5.621289940828402,30.189040983606557,16.38508333333333,6.8758333333333335,51.176,,16.52433333333333,56.27729166666666,36.6762,29.29,12.370882352941177,,1.0,0.0,0.6,7.4,43.34415652233621,
AS14.01,2014-04-01,0.118443242712736,4.892725738396624,30.198434065934066,15.48277777777778,10.232676470588235,78.247,3.159,10.42842857142857,36.13572222222223,44.316555555555546,,16.17573076923077,,1.0,0.2,0.0,6.0,36.596375008424125,
AS14.01,2014-04-02,0.10191661063822348,5.572946859903381,29.465592039801,17.996227272727275,9.1895,,,12.14904761904762,51.059705882352944,30.80095587301587,,15.068866666666668,,1.0,0.3333333333333333,0.6666666666666666,6.5,39.36295145692177,
AS14.01,2014-04-03,0.04923847270844107,5.172448979591837,33.51025170068027,14.363473684210527,25.41133333333333,,,10.236642857142858,36.812928571428564,19.082,,14.059384615384618,,1.0,-1.2,0.0,6.4,35.58542168667039,
AS14.01,2014-04-04,0.12668931120732582,5.053223404255319,31.50544827586207,4.808000000000001,13.514777450980391,,,9.792333333333334,58.7835357142857,22.60585714285714,,9.899384615384616,,1.0,0.2,0.4,6.2,32.36044897838515,1.0
AS14.01,2014-04-05,0.1190023022034455,5.20389010989011,30.642583333333334,20.385954789119264,12.550858333333332,,,11.590428571428571,45.400999999999996,31.32416666666667,,13.217333333333334,,1.0,-0.4,0.6,6.8,37.1859016379372,
AS14.01,2014-04-06,0.06440779944246813,4.483358333333333,30.091553846153847,45.352,13.67131111111111,57.203,,13.127199999999998,64.292,33.314755952380956,,9.2498,,1.0,-0.75,0.5,6.5,38.40194047632673,
AS14.01,2014-04-07,0.050670621174317886,6.336612403100776,34.30578991596639,14.87425,9.2256,29.131,17.107,16.185142857142857,48.78404347826086,60.247,,2.532,,1.0,-0.6666666666666666,0.25,6.5,35.76461467611681,
AS14.01,2014-04-08,0.0753270582613485,5.258794871794872,28.291470270270274,24.92177777777778,6.377,29.131,20.151,8.402,41.220395348837215,41.93505555555556,,18.0715,,1.0,-0.4,0.3333333333333333,6.6,34.393791887360784,
AS14.01,2014-04-09,0.12038411453232876,5.166035928143713,30.493063694267516,18.3945,10.428255555555555,29.131,20.151,12.136428571428569,44.161718750000006,33.17066666666667,,15.6975,,1.0,-0.8,1.0,7.4,45.43408995330649,
AS14.01,2014-04-10,0.07896310519489107,6.1415566037735845,35.98711594202899,10.121,10.110441666666667,1.059,23.195,13.489875000000001,39.15723333333334,33.17066666666667,,14.184384615384618,,1.0,-0.4,0.8,7.4,40.035012495517755,
AS14.01,2014-04-11,0.07998620207306052,5.747748091603053,27.575140495867775,16.411,15.682166666666667,,,8.575333333333333,45.90823076923077,34.234,,16.533375,,1.0,-1.2,0.8,7.0,37.93252174128657,
AS14.01,2014-04-12,0.07224906147031816,5.60085185185185,31.141952380952386,30.8744,11.0185,,,11.290428571428572,44.072,5.031,,11.041791666666667,,1.0,-0.75,0.75,7.25,41.20850002197993,
AS14.01,2014-04-13,0.014021328954370723,4.852271428571427,35.93390476190476,28.88233333333333,9.157,,,8.564454545454545,17.250999999999998,15.545,,17.32501092796093,,1.0,-1.25,1.0,8.0,40.06918179627623,
AS14.01,2014-04-14,0.08388731446988419,4.932574712643678,37.16979661016949,19.2922,14.887166666666667,,,12.091333333333337,45.377062499999994,14.552,,19.8466,,1.0,-1.2,0.6,7.2,45.049752127411026,1.0
AS14.01,2014-04-15,0.09011215278072526,5.392004329004329,31.77104081632653,29.374428571428574,4.347666666666666,,,9.7194,57.42441463414635,8.363,,19.98521428571428,,1.0,0.0,0.8,6.4,40.1150083164374,1.0
AS14.01,2014-04-16,0.11611033612712222,5.327965753424658,27.21972058823529,13.942133333333334,12.270657142857143,,,6.7973333333333334,56.380999999999986,27.16283333333333,,22.358700000000002,,1.0,0.75,0.5,7.2,37.24007096290588,1.0
AS14.01,2014-04-17,0.05691785667209682,4.8867345132743365,37.491319587628865,28.448200000000003,11.499857142857143,,,10.752600000000001,41.29910714285713,27.16283333333333,,16.572666666666667,,1.0,-0.4,0.6,6.6,40.940144448810166,1.0
AS14.01,2014-04-18,0.09403300669497609,5.721315384615385,37.81459722222222,16.461199999999998,17.023285714285713,,,6.826999999999999,20.138,21.29133333333333,,22.17,,1.0,-0.8,0.8,6.8,38.8139733314514,1.0
AS14.01,2014-04-19,0.09943191172384026,4.93585593220339,33.35902631578947,19.464333333333332,15.938166666666667,29.084,,6.2964,36.061090909090915,64.445,,9.772571428571428,,1.0,-0.2,1.0,7.8,48.22117105910654,1.0
AS14.01,2014-04-20,0.07481624304311597,4.949169014084507,41.21953086419753,22.89342857142857,5.303,,,6.8404,48.366409090909094,36.16522222222222,,12.1035,,1.0,-0.25,0.75,7.25,52.90573494692883,1.0
